event_time_utc,event_type,trade_id,symbol,source,timeframe,session,raw_direction,final_direction,candle_time,entry_price,sl_price,tp1_price,tp2_price,notional_usd,leverage,margin_usd,adx_value,lot,exit_reason,exit_price,pnl,balance_after
2026-09-06T11:16:14.359945+00:00,lot_close,155,MASKUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-06 10:30:00,,,,,,3.0,50.0,,lot_b,sl,0.466383355811625,-2.0815,1055.5613
2026-09-06T11:16:14.692460+00:00,full_close,155,MASKUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-06 10:30:00,,,,,,,,,,,,,1055.5613
2026-09-06T11:16:16.041285+00:00,lot_close,138,MANAUSDT,ICT/SMC Scalp Pro,15m,,,long,2026-09-04 14:45:00,,,,,,1.0,50.0,,lot_b,tp2,0.07579061948730265,1.7695,1057.3309
2026-09-06T11:16:16.364105+00:00,full_close,138,MANAUSDT,ICT/SMC Scalp Pro,15m,,,long,2026-09-04 14:45:00,,,,,,,,,,,,,1057.3309
2026-09-06T12:46:11.319853+00:00,open,156,VETUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-06 12:30:00,0.007054,0.00721338169475573,0.006814927457866406,0.0065758549157328115,300.0,3.0,100.0,20.614,,,,,1057.3309
2026-09-06T17:01:15.567391+00:00,open,157,ROSEUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 16:45:00,0.00744,0.007882259530936669,0.006776610703594999,0.006113221407189998,300.0,3.0,100.0,23.369,,,,,1057.3309
2026-09-06T21:01:14.506458+00:00,open,158,DOGEUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 20:45:00,0.09027,0.09122414102352541,0.08883878846471188,0.08740757692942377,300.0,3.0,100.0,32.608,,,,,1057.3309
2026-09-06T21:16:01.410552+00:00,open,159,BTCUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 21:00:00,80003.7,80338.24764047771,79501.87853928343,79000.05707856685,300.0,3.0,100.0,18.452,,,,,1057.3309
2026-09-06T21:16:05.507054+00:00,open,160,BNBUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 21:00:00,752.43,757.3878300677042,744.9932548984436,737.5565097968873,300.0,3.0,100.0,20.65,,,,,1057.3309
2026-09-06T23:01:18.140017+00:00,open,161,CHZUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 22:45:00,0.01401,0.01418743038603045,0.013743854420954325,0.01347770884190865,300.0,3.0,100.0,18.568,,,,,1057.3309
2026-09-06T23:15:59.379621+00:00,lot_close,159,BTCUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 21:00:00,,,,,,3.0,50.0,,lot_a,sl,80338.24764047771,-0.6272,1056.7036
2026-09-06T23:15:59.719412+00:00,lot_close,159,BTCUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 21:00:00,,,,,,3.0,50.0,,lot_b,sl,80338.24764047771,-0.6272,1056.0764
2026-09-06T23:16:00.091740+00:00,full_close,159,BTCUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 21:00:00,,,,,,,,,,,,,1056.0764
2026-09-06T23:31:14.311910+00:00,lot_close,131,MANAUSDT,Supertrend+ADX,15m,,,long,2026-09-04 12:30:00,,,,,,1.0,50.0,,lot_a,tp1,0.07734201430320042,2.0471,1058.1235
2026-09-06T23:31:14.836955+00:00,sl_to_be,131,MANAUSDT,Supertrend+ADX,15m,,,long,2026-09-04 12:30:00,,0.0743,,,,,,,,,,,
2026-09-07T00:31:24.102933+00:00,lot_close,132,GALAUSDT,Supertrend+ADX,15m,,,long,2026-09-04 12:30:00,,,,,,1.0,50.0,,lot_b,tp2,0.0019428337344025656,5.7325,1063.856
2026-09-07T00:31:24.445673+00:00,full_close,132,GALAUSDT,Supertrend+ADX,15m,,,long,2026-09-04 12:30:00,,,,,,,,,,,,,1063.856
2026-09-07T00:46:03.773308+00:00,lot_close,158,DOGEUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 20:45:00,,,,,,3.0,50.0,,lot_a,sl,0.09122414102352541,-1.5855,1062.2705
2026-09-07T00:46:04.179454+00:00,lot_close,158,DOGEUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 20:45:00,,,,,,3.0,50.0,,lot_b,sl,0.09122414102352541,-1.5855,1060.685
2026-09-07T00:46:04.545603+00:00,full_close,158,DOGEUSDT,Supertrend+ADX,15m,نیویورک,long,short,2026-09-06 20:45:00,,,,,,,,,,,,,1060.685
2026-09-07T01:01:20.712067+00:00,lot_close,156,VETUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-06 12:30:00,,,,,,3.0,50.0,,lot_a,sl,0.00721338169475573,-3.3892,1057.2958
2026-09-07T01:01:21.077573+00:00,lot_close,156,VETUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-06 12:30:00,,,,,,3.0,50.0,,lot_b,sl,0.00721338169475573,-3.3892,1053.9067
2026-09-07T01:01:21.437600+00:00,full_close,156,VETUSDT,Supertrend+ADX,15m,لندن,long,short,2026-09-06 12:30:00,,,,,,,,,,,,,1053.9067
2026-09-07T02:46:39.724752+00:00,open,162,SOLUSDT,Supertrend+ADX,15m,آسیا,long,short,2026-09-07 02:30:00,106.79,108.4975240829217,104.22871387561747,101.66742775123492,300.0,3.0,100.0,17.729,,,,,1053.9067
